0 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), LEADING (my state)
16 Notification: 10.0.0.10 (n.leader), 11.0.0.10 (n.zxid), 12.0.0.10 (n.round), LOOKING (n.state), 13.0.0.10 (n.sid), 14.0.0.10 (n.peerEPoch), LEADING (my state)
17 Notification: 10.0.0.11 (n.leader), 11.0.0.11 (n.zxid), 12.0.0.11 (n.round), LOOKING (n.state), 13.0.0.11 (n.sid), 14.0.0.11 (n.peerEPoch), LEADING (my state)
18 Notification: 10.0.0.12 (n.leader), 11.0.0.12 (n.zxid), 12.0.0.12 (n.round), LOOKING (n.state), 13.0.0.12 (n.sid), 14.0.0.12 (n.peerEPoch), LEADING (my state)
19 Notification: 10.0.0.13 (n.leader), 11.0.0.13 (n.zxid), 12.0.0.13 (n.round), LOOKING (n.state), 13.0.0.13 (n.sid), 14.0.0.13 (n.peerEPoch), LEADING (my state)
20 Notification: 10.0.0.14 (n.leader), 11.0.0.14 (n.zxid), 12.0.0.14 (n.round), LOOKING (n.state), 13.0.0.14 (n.sid), 14.0.0.14 (n.peerEPoch), LEADING (my state)
21 Notification: 10.0.0.15 (n.leader), 11.0.0.15 (n.zxid), 12.0.0.15 (n.round), LOOKING (n.state), 13.0.0.15 (n.sid), 14.0.0.15 (n.peerEPoch), LEADING (my state)
22 Notification: 10.0.0.16 (n.leader), 11.0.0.16 (n.zxid), 12.0.0.16 (n.round), LOOKING (n.state), 13.0.0.16 (n.sid), 14.0.0.16 (n.peerEPoch), LEADING (my state)
23 Notification: 10.0.0.17 (n.leader), 11.0.0.17 (n.zxid), 12.0.0.17 (n.round), LOOKING (n.state), 13.0.0.17 (n.sid), 14.0.0.17 (n.peerEPoch), LEADING (my state)
24 Notification: 10.0.0.18 (n.leader), 11.0.0.18 (n.zxid), 12.0.0.18 (n.round), LOOKING (n.state), 13.0.0.18 (n.sid), 14.0.0.18 (n.peerEPoch), LEADING (my state)
25 Notification: 10.0.0.19 (n.leader), 11.0.0.19 (n.zxid), 12.0.0.19 (n.round), LOOKING (n.state), 13.0.0.19 (n.sid), 14.0.0.19 (n.peerEPoch), LEADING (my state)
26 Notification: 10.0.0.20 (n.leader), 11.0.0.20 (n.zxid), 12.0.0.20 (n.round), LOOKING (n.state), 13.0.0.20 (n.sid), 14.0.0.20 (n.peerEPoch), LEADING (my state)
27 Notification: 10.0.0.21 (n.leader), 11.0.0.21 (n.zxid), 12.0.0.21 (n.round), LOOKING (n.state), 13.0.0.21 (n.sid), 14.0.0.21 (n.peerEPoch), LEADING (my state)
28 Notification: 10.0.0.22 (n.leader), 11.0.0.22 (n.zxid), 12.0.0.22 (n.round), LOOKING (n.state), 13.0.0.22 (n.sid), 14.0.0.22 (n.peerEPoch), LEADING (my state)
29 Notification: 10.0.0.23 (n.leader), 11.0.0.23 (n.zxid), 12.0.0.23 (n.round), LOOKING (n.state), 13.0.0.23 (n.sid), 14.0.0.23 (n.peerEPoch), LEADING (my state)
30 Notification: 10.0.0.24 (n.leader), 11.0.0.24 (n.zxid), 12.0.0.24 (n.round), LOOKING (n.state), 13.0.0.24 (n.sid), 14.0.0.24 (n.peerEPoch), LEADING (my state)
31 Notification: 10.0.0.25 (n.leader), 11.0.0.25 (n.zxid), 12.0.0.25 (n.round), LOOKING (n.state), 13.0.0.25 (n.sid), 14.0.0.25 (n.peerEPoch), LEADING (my state)
32 Notification: 10.0.0.26 (n.leader), 11.0.0.26 (n.zxid), 12.0.0.26 (n.round), LOOKING (n.state), 13.0.0.26 (n.sid), 14.0.0.26 (n.peerEPoch), LEADING (my state)
33 Notification: 10.0.0.27 (n.leader), 11.0.0.27 (n.zxid), 12.0.0.27 (n.round), LOOKING (n.state), 13.0.0.27 (n.sid), 14.0.0.27 (n.peerEPoch), LEADING (my state)
34 Notification: 10.0.0.28 (n.leader), 11.0.0.28 (n.zxid), 12.0.0.28 (n.round), LOOKING (n.state), 13.0.0.28 (n.sid), 14.0.0.28 (n.peerEPoch), LEADING (my state)
35 Notification: 10.0.0.29 (n.leader), 11.0.0.29 (n.zxid), 12.0.0.29 (n.round), LOOKING (n.state), 13.0.0.29 (n.sid), 14.0.0.29 (n.peerEPoch), LEADING (my state)
36 Notification: 10.0.0.30 (n.leader), 11.0.0.30 (n.zxid), 12.0.0.30 (n.round), LOOKING (n.state), 13.0.0.30 (n.sid), 14.0.0.30 (n.peerEPoch), LEADING (my state)
37 Notification: 10.0.0.31 (n.leader), 11.0.0.31 (n.zxid), 12.0.0.31 (n.round), LOOKING (n.state), 13.0.0.31 (n.sid), 14.0.0.31 (n.peerEPoch), LEADING (my state)
38 Notification: 10.0.0.32 (n.leader), 11.0.0.32 (n.zxid), 12.0.0.32 (n.round), LOOKING (n.state), 13.0.0.32 (n.sid), 14.0.0.32 (n.peerEPoch), LEADING (my state)
39 Notification: 10.0.0.33 (n.leader), 11.0.0.33 (n.zxid), 12.0.0.33 (n.round), LOOKING (n.state), 13.0.0.33 (n.sid), 14.0.0.33 (n.peerEPoch), LEADING (my state)
40 Notification: 10.0.0.34 (n.leader), 11.0.0.34 (n.zxid), 12.0.0.34 (n.round), LOOKING (n.state), 13.0.0.34 (n.sid), 14.0.0.34 (n.peerEPoch), LEADING (my state)
41 Notification: 10.0.0.35 (n.leader), 11.0.0.35 (n.zxid), 12.0.0.35 (n.round), LOOKING (n.state), 13.0.0.35 (n.sid), 14.0.0.35 (n.peerEPoch), LEADING (my state)
42 Notification: 10.0.0.36 (n.leader), 11.0.0.36 (n.zxid), 12.0.0.36 (n.round), LOOKING (n.state), 13.0.0.36 (n.sid), 14.0.0.36 (n.peerEPoch), LEADING (my state)
43 Notification: 10.0.0.37 (n.leader), 11.0.0.37 (n.zxid), 12.0.0.37 (n.round), LOOKING (n.state), 13.0.0.37 (n.sid), 14.0.0.37 (n.peerEPoch), LEADING (my state)
44 Notification: 10.0.0.38 (n.leader), 11.0.0.38 (n.zxid), 12.0.0.38 (n.round), LOOKING (n.state), 13.0.0.38 (n.sid), 14.0.0.38 (n.peerEPoch), LEADING (my state)
45 Notification: 10.0.0.39 (n.leader), 11.0.0.39 (n.zxid), 12.0.0.39 (n.round), LOOKING (n.state), 13.0.0.39 (n.sid), 14.0.0.39 (n.peerEPoch), LEADING (my state)
46 Notification: 10.0.0.40 (n.leader), 11.0.0.40 (n.zxid), 12.0.0.40 (n.round), LOOKING (n.state), 13.0.0.40 (n.sid), 14.0.0.40 (n.peerEPoch), LEADING (my state)
47 Notification: 10.0.0.41 (n.leader), 11.0.0.41 (n.zxid), 12.0.0.41 (n.round), LOOKING (n.state), 13.0.0.41 (n.sid), 14.0.0.41 (n.peerEPoch), LEADING (my state)
48 Notification: 10.0.0.42 (n.leader), 11.0.0.42 (n.zxid), 12.0.0.42 (n.round), LOOKING (n.state), 13.0.0.42 (n.sid), 14.0.0.42 (n.peerEPoch), LEADING (my state)
49 Notification: 10.0.0.43 (n.leader), 11.0.0.43 (n.zxid), 12.0.0.43 (n.round), LOOKING (n.state), 13.0.0.43 (n.sid), 14.0.0.43 (n.peerEPoch), LEADING (my state)
50 Notification: 10.0.0.44 (n.leader), 11.0.0.44 (n.zxid), 12.0.0.44 (n.round), LOOKING (n.state), 13.0.0.44 (n.sid), 14.0.0.44 (n.peerEPoch), LEADING (my state)
51 Notification: 10.0.0.45 (n.leader), 11.0.0.45 (n.zxid), 12.0.0.45 (n.round), LOOKING (n.state), 13.0.0.45 (n.sid), 14.0.0.45 (n.peerEPoch), LEADING (my state)
52 Notification: 10.0.0.46 (n.leader), 11.0.0.46 (n.zxid), 12.0.0.46 (n.round), LOOKING (n.state), 13.0.0.46 (n.sid), 14.0.0.46 (n.peerEPoch), LEADING (my state)
53 Notification: 10.0.0.47 (n.leader), 11.0.0.47 (n.zxid), 12.0.0.47 (n.round), LOOKING (n.state), 13.0.0.47 (n.sid), 14.0.0.47 (n.peerEPoch), LEADING (my state)
54 Notification: 10.0.0.48 (n.leader), 11.0.0.48 (n.zxid), 12.0.0.48 (n.round), LOOKING (n.state), 13.0.0.48 (n.sid), 14.0.0.48 (n.peerEPoch), LEADING (my state)
55 Notification: 10.0.0.49 (n.leader), 11.0.0.49 (n.zxid), 12.0.0.49 (n.round), LOOKING (n.state), 13.0.0.49 (n.sid), 14.0.0.49 (n.peerEPoch), LEADING (my state)
56 Notification: 10.0.0.50 (n.leader), 11.0.0.50 (n.zxid), 12.0.0.50 (n.round), LOOKING (n.state), 13.0.0.50 (n.sid), 14.0.0.50 (n.peerEPoch), LEADING (my state)
57 Notification: 10.0.0.51 (n.leader), 11.0.0.51 (n.zxid), 12.0.0.51 (n.round), LOOKING (n.state), 13.0.0.51 (n.sid), 14.0.0.51 (n.peerEPoch), LEADING (my state)
58 Notification: 10.0.0.52 (n.leader), 11.0.0.52 (n.zxid), 12.0.0.52 (n.round), LOOKING (n.state), 13.0.0.52 (n.sid), 14.0.0.52 (n.peerEPoch), LEADING (my state)
59 Notification: 10.0.0.53 (n.leader), 11.0.0.53 (n.zxid), 12.0.0.53 (n.round), LOOKING (n.state), 13.0.0.53 (n.sid), 14.0.0.53 (n.peerEPoch), LEADING (my state)
60 Notification: 10.0.0.54 (n.leader), 11.0.0.54 (n.zxid), 12.0.0.54 (n.round), LOOKING (n.state), 13.0.0.54 (n.sid), 14.0.0.54 (n.peerEPoch), LEADING (my state)
61 Notification: 10.0.0.55 (n.leader), 11.0.0.55 (n.zxid), 12.0.0.55 (n.round), LOOKING (n.state), 13.0.0.55 (n.sid), 14.0.0.55 (n.peerEPoch), LEADING (my state)
62 Notification: 10.0.0.56 (n.leader), 11.0.0.56 (n.zxid), 12.0.0.56 (n.round), LOOKING (n.state), 13.0.0.56 (n.sid), 14.0.0.56 (n.peerEPoch), LEADING (my state)
63 Notification: 10.0.0.57 (n.leader), 11.0.0.57 (n.zxid), 12.0.0.57 (n.round), LOOKING (n.state), 13.0.0.57 (n.sid), 14.0.0.57 (n.peerEPoch), LEADING (my state)
64 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
65 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
66 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
67 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
68 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
69 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), LOOKING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
70 Notification: 10.0.0.2 (n.leader), 11.0.0.2 (n.zxid), 12.0.0.2 (n.round), LOOKING (n.state), 13.0.0.2 (n.sid), 14.0.0.2 (n.peerEPoch), FOLLOWING (my state)
71 Notification: 10.0.0.2 (n.leader), 11.0.0.2 (n.zxid), 12.0.0.2 (n.round), LOOKING (n.state), 13.0.0.2 (n.sid), 14.0.0.2 (n.peerEPoch), FOLLOWING (my state)
72 Notification: 10.0.0.3 (n.leader), 11.0.0.3 (n.zxid), 12.0.0.3 (n.round), LOOKING (n.state), 13.0.0.3 (n.sid), 14.0.0.3 (n.peerEPoch), FOLLOWING (my state)
73 Notification: 10.0.0.3 (n.leader), 11.0.0.3 (n.zxid), 12.0.0.3 (n.round), LOOKING (n.state), 13.0.0.3 (n.sid), 14.0.0.3 (n.peerEPoch), FOLLOWING (my state)
74 Notification: 10.0.0.4 (n.leader), 11.0.0.4 (n.zxid), 12.0.0.4 (n.round), LOOKING (n.state), 13.0.0.4 (n.sid), 14.0.0.4 (n.peerEPoch), FOLLOWING (my state)
75 Notification: 10.0.0.5 (n.leader), 11.0.0.5 (n.zxid), 12.0.0.5 (n.round), LOOKING (n.state), 13.0.0.5 (n.sid), 14.0.0.5 (n.peerEPoch), FOLLOWING (my state)
76 Notification: 10.0.0.6 (n.leader), 11.0.0.6 (n.zxid), 12.0.0.6 (n.round), LOOKING (n.state), 13.0.0.6 (n.sid), 14.0.0.6 (n.peerEPoch), FOLLOWING (my state)
77 Notification: 10.0.0.7 (n.leader), 11.0.0.7 (n.zxid), 12.0.0.7 (n.round), LOOKING (n.state), 13.0.0.7 (n.sid), 14.0.0.7 (n.peerEPoch), FOLLOWING (my state)
78 Notification: 10.0.0.8 (n.leader), 11.0.0.8 (n.zxid), 12.0.0.8 (n.round), LOOKING (n.state), 13.0.0.8 (n.sid), 14.0.0.8 (n.peerEPoch), FOLLOWING (my state)
79 Notification: 10.0.0.9 (n.leader), 11.0.0.9 (n.zxid), 12.0.0.9 (n.round), LOOKING (n.state), 13.0.0.9 (n.sid), 14.0.0.9 (n.peerEPoch), FOLLOWING (my state)
80 Notification: 10.0.0.10 (n.leader), 11.0.0.10 (n.zxid), 12.0.0.10 (n.round), LOOKING (n.state), 13.0.0.10 (n.sid), 14.0.0.10 (n.peerEPoch), FOLLOWING (my state)
81 Notification: 10.0.0.11 (n.leader), 11.0.0.11 (n.zxid), 12.0.0.11 (n.round), LOOKING (n.state), 13.0.0.11 (n.sid), 14.0.0.11 (n.peerEPoch), FOLLOWING (my state)
82 Notification: 10.0.0.12 (n.leader), 11.0.0.12 (n.zxid), 12.0.0.12 (n.round), LOOKING (n.state), 13.0.0.12 (n.sid), 14.0.0.12 (n.peerEPoch), FOLLOWING (my state)
83 Notification: 10.0.0.13 (n.leader), 11.0.0.13 (n.zxid), 12.0.0.13 (n.round), LOOKING (n.state), 13.0.0.13 (n.sid), 14.0.0.13 (n.peerEPoch), FOLLOWING (my state)
84 Notification: 10.0.0.14 (n.leader), 11.0.0.14 (n.zxid), 12.0.0.14 (n.round), LOOKING (n.state), 13.0.0.14 (n.sid), 14.0.0.14 (n.peerEPoch), FOLLOWING (my state)
85 Notification: 10.0.0.15 (n.leader), 11.0.0.15 (n.zxid), 12.0.0.15 (n.round), LOOKING (n.state), 13.0.0.15 (n.sid), 14.0.0.15 (n.peerEPoch), FOLLOWING (my state)
86 Notification: 10.0.0.16 (n.leader), 11.0.0.16 (n.zxid), 12.0.0.16 (n.round), LOOKING (n.state), 13.0.0.16 (n.sid), 14.0.0.16 (n.peerEPoch), FOLLOWING (my state)
87 Notification: 10.0.0.17 (n.leader), 11.0.0.17 (n.zxid), 12.0.0.17 (n.round), LOOKING (n.state), 13.0.0.17 (n.sid), 14.0.0.17 (n.peerEPoch), FOLLOWING (my state)
88 Notification: 10.0.0.18 (n.leader), 11.0.0.18 (n.zxid), 12.0.0.18 (n.round), LOOKING (n.state), 13.0.0.18 (n.sid), 14.0.0.18 (n.peerEPoch), FOLLOWING (my state)
89 Notification: 10.0.0.19 (n.leader), 11.0.0.19 (n.zxid), 12.0.0.19 (n.round), LOOKING (n.state), 13.0.0.19 (n.sid), 14.0.0.19 (n.peerEPoch), FOLLOWING (my state)
90 Notification: 10.0.0.20 (n.leader), 11.0.0.20 (n.zxid), 12.0.0.20 (n.round), LOOKING (n.state), 13.0.0.20 (n.sid), 14.0.0.20 (n.peerEPoch), FOLLOWING (my state)
91 Notification: 10.0.0.21 (n.leader), 11.0.0.21 (n.zxid), 12.0.0.21 (n.round), LOOKING (n.state), 13.0.0.21 (n.sid), 14.0.0.21 (n.peerEPoch), FOLLOWING (my state)
92 Notification: 10.0.0.22 (n.leader), 11.0.0.22 (n.zxid), 12.0.0.22 (n.round), LOOKING (n.state), 13.0.0.22 (n.sid), 14.0.0.22 (n.peerEPoch), FOLLOWING (my state)
93 Notification: 10.0.0.23 (n.leader), 11.0.0.23 (n.zxid), 12.0.0.23 (n.round), LOOKING (n.state), 13.0.0.23 (n.sid), 14.0.0.23 (n.peerEPoch), FOLLOWING (my state)
94 Notification: 10.0.0.24 (n.leader), 11.0.0.24 (n.zxid), 12.0.0.24 (n.round), LOOKING (n.state), 13.0.0.24 (n.sid), 14.0.0.24 (n.peerEPoch), FOLLOWING (my state)
95 Notification: 10.0.0.25 (n.leader), 11.0.0.25 (n.zxid), 12.0.0.25 (n.round), LOOKING (n.state), 13.0.0.25 (n.sid), 14.0.0.25 (n.peerEPoch), FOLLOWING (my state)
96 Notification: 10.0.0.26 (n.leader), 11.0.0.26 (n.zxid), 12.0.0.26 (n.round), LOOKING (n.state), 13.0.0.26 (n.sid), 14.0.0.26 (n.peerEPoch), FOLLOWING (my state)
97 Notification: 10.0.0.27 (n.leader), 11.0.0.27 (n.zxid), 12.0.0.27 (n.round), LOOKING (n.state), 13.0.0.27 (n.sid), 14.0.0.27 (n.peerEPoch), FOLLOWING (my state)
98 Notification: 10.0.0.28 (n.leader), 11.0.0.28 (n.zxid), 12.0.0.28 (n.round), LOOKING (n.state), 13.0.0.28 (n.sid), 14.0.0.28 (n.peerEPoch), FOLLOWING (my state)
99 Notification: 10.0.0.29 (n.leader), 11.0.0.29 (n.zxid), 12.0.0.29 (n.round), LOOKING (n.state), 13.0.0.29 (n.sid), 14.0.0.29 (n.peerEPoch), FOLLOWING (my state)
100 Notification: 10.0.0.30 (n.leader), 11.0.0.30 (n.zxid), 12.0.0.30 (n.round), LOOKING (n.state), 13.0.0.30 (n.sid), 14.0.0.30 (n.peerEPoch), FOLLOWING (my state)
101 Notification: 10.0.0.31 (n.leader), 11.0.0.31 (n.zxid), 12.0.0.31 (n.round), LOOKING (n.state), 13.0.0.31 (n.sid), 14.0.0.31 (n.peerEPoch), FOLLOWING (my state)
102 Notification: 10.0.0.32 (n.leader), 11.0.0.32 (n.zxid), 12.0.0.32 (n.round), LOOKING (n.state), 13.0.0.32 (n.sid), 14.0.0.32 (n.peerEPoch), FOLLOWING (my state)
103 Notification: 10.0.0.33 (n.leader), 11.0.0.33 (n.zxid), 12.0.0.33 (n.round), LOOKING (n.state), 13.0.0.33 (n.sid), 14.0.0.33 (n.peerEPoch), FOLLOWING (my state)
104 Notification: 10.0.0.34 (n.leader), 11.0.0.34 (n.zxid), 12.0.0.34 (n.round), LOOKING (n.state), 13.0.0.34 (n.sid), 14.0.0.34 (n.peerEPoch), FOLLOWING (my state)
105 Notification: 10.0.0.35 (n.leader), 11.0.0.35 (n.zxid), 12.0.0.35 (n.round), LOOKING (n.state), 13.0.0.35 (n.sid), 14.0.0.35 (n.peerEPoch), FOLLOWING (my state)
106 Notification: 10.0.0.36 (n.leader), 11.0.0.36 (n.zxid), 12.0.0.36 (n.round), LOOKING (n.state), 13.0.0.36 (n.sid), 14.0.0.36 (n.peerEPoch), FOLLOWING (my state)
107 Notification: 10.0.0.37 (n.leader), 11.0.0.37 (n.zxid), 12.0.0.37 (n.round), LOOKING (n.state), 13.0.0.37 (n.sid), 14.0.0.37 (n.peerEPoch), FOLLOWING (my state)
108 Notification: 10.0.0.38 (n.leader), 11.0.0.38 (n.zxid), 12.0.0.38 (n.round), LOOKING (n.state), 13.0.0.38 (n.sid), 14.0.0.38 (n.peerEPoch), FOLLOWING (my state)
109 Notification: 10.0.0.39 (n.leader), 11.0.0.39 (n.zxid), 12.0.0.39 (n.round), LOOKING (n.state), 13.0.0.39 (n.sid), 14.0.0.39 (n.peerEPoch), FOLLOWING (my state)
110 Notification: 10.0.0.40 (n.leader), 11.0.0.40 (n.zxid), 12.0.0.40 (n.round), LOOKING (n.state), 13.0.0.40 (n.sid), 14.0.0.40 (n.peerEPoch), FOLLOWING (my state)
111 Notification: 10.0.0.41 (n.leader), 11.0.0.41 (n.zxid), 12.0.0.41 (n.round), LOOKING (n.state), 13.0.0.41 (n.sid), 14.0.0.41 (n.peerEPoch), FOLLOWING (my state)
112 Notification: 10.0.0.42 (n.leader), 11.0.0.42 (n.zxid), 12.0.0.42 (n.round), LOOKING (n.state), 13.0.0.42 (n.sid), 14.0.0.42 (n.peerEPoch), FOLLOWING (my state)
113 Notification: 10.0.0.43 (n.leader), 11.0.0.43 (n.zxid), 12.0.0.43 (n.round), LOOKING (n.state), 13.0.0.43 (n.sid), 14.0.0.43 (n.peerEPoch), FOLLOWING (my state)
114 Notification: 10.0.0.44 (n.leader), 11.0.0.44 (n.zxid), 12.0.0.44 (n.round), LOOKING (n.state), 13.0.0.44 (n.sid), 14.0.0.44 (n.peerEPoch), FOLLOWING (my state)
115 Notification: 10.0.0.45 (n.leader), 11.0.0.45 (n.zxid), 12.0.0.45 (n.round), LOOKING (n.state), 13.0.0.45 (n.sid), 14.0.0.45 (n.peerEPoch), FOLLOWING (my state)
116 Notification: 10.0.0.46 (n.leader), 11.0.0.46 (n.zxid), 12.0.0.46 (n.round), LOOKING (n.state), 13.0.0.46 (n.sid), 14.0.0.46 (n.peerEPoch), FOLLOWING (my state)
117 Notification: 10.0.0.47 (n.leader), 11.0.0.47 (n.zxid), 12.0.0.47 (n.round), LOOKING (n.state), 13.0.0.47 (n.sid), 14.0.0.47 (n.peerEPoch), FOLLOWING (my state)
118 Notification: 10.0.0.48 (n.leader), 11.0.0.48 (n.zxid), 12.0.0.48 (n.round), LOOKING (n.state), 13.0.0.48 (n.sid), 14.0.0.48 (n.peerEPoch), FOLLOWING (my state)
119 Notification: 10.0.0.49 (n.leader), 11.0.0.49 (n.zxid), 12.0.0.49 (n.round), LOOKING (n.state), 13.0.0.49 (n.sid), 14.0.0.49 (n.peerEPoch), FOLLOWING (my state)
120 Notification: 10.0.0.50 (n.leader), 11.0.0.50 (n.zxid), 12.0.0.50 (n.round), LOOKING (n.state), 13.0.0.50 (n.sid), 14.0.0.50 (n.peerEPoch), FOLLOWING (my state)
121 Notification: 10.0.0.51 (n.leader), 11.0.0.51 (n.zxid), 12.0.0.51 (n.round), LOOKING (n.state), 13.0.0.51 (n.sid), 14.0.0.51 (n.peerEPoch), FOLLOWING (my state)
122 Notification: 10.0.0.52 (n.leader), 11.0.0.52 (n.zxid), 12.0.0.52 (n.round), LOOKING (n.state), 13.0.0.52 (n.sid), 14.0.0.52 (n.peerEPoch), FOLLOWING (my state)
123 Notification: 10.0.0.53 (n.leader), 11.0.0.53 (n.zxid), 12.0.0.53 (n.round), LOOKING (n.state), 13.0.0.53 (n.sid), 14.0.0.53 (n.peerEPoch), FOLLOWING (my state)
124 Notification: 10.0.0.54 (n.leader), 11.0.0.54 (n.zxid), 12.0.0.54 (n.round), LOOKING (n.state), 13.0.0.54 (n.sid), 14.0.0.54 (n.peerEPoch), FOLLOWING (my state)
125 Notification: 10.0.0.55 (n.leader), 11.0.0.55 (n.zxid), 12.0.0.55 (n.round), LOOKING (n.state), 13.0.0.55 (n.sid), 14.0.0.55 (n.peerEPoch), FOLLOWING (my state)
126 Notification: 10.0.0.56 (n.leader), 11.0.0.56 (n.zxid), 12.0.0.56 (n.round), LOOKING (n.state), 13.0.0.56 (n.sid), 14.0.0.56 (n.peerEPoch), FOLLOWING (my state)
127 Notification: 10.0.0.57 (n.leader), 11.0.0.57 (n.zxid), 12.0.0.57 (n.round), LOOKING (n.state), 13.0.0.57 (n.sid), 14.0.0.57 (n.peerEPoch), FOLLOWING (my state)
128 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), FOLLOWING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
129 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), FOLLOWING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
130 Notification: 10.0.0.1 (n.leader), 11.0.0.1 (n.zxid), 12.0.0.1 (n.round), FOLLOWING (n.state), 13.0.0.1 (n.sid), 14.0.0.1 (n.peerEPoch), FOLLOWING (my state)
